formula_name,mean_solved,mean_weighted_success,mean_penalized_last_improvement,mean_last_improvement
wuf20-069.mwcnf,0.8,0.03870,121.5,87.3
wuf20-070.mwcnf,1.0,0.34518,99.2,99.2
wuf20-071.mwcnf,1.0,0.18025,67.8,67.8
wuf20-072.mwcnf,0.7,0.07799,378.5,91.4
wuf20-073.mwcnf,0.4,0.02710,207.7,56.5
wuf20-074.mwcnf,0.3,0.00014,95.7,31.8
wuf20-075.mwcnf,1.0,0.29154,49.9,49.9
wuf20-076.mwcnf,0.3,0.00017,467.1,59.4
wuf20-067.mwcnf,1.0,0.38060,136.2,136.2
wuf20-068.mwcnf,0.9,0.22548,46.4,33.8
wuf20-069.mwcnf,0.8,0.03814,553.5,94.5
wuf20-070.mwcnf,0.9,0.30031,55.2,46.2
wuf20-071.mwcnf,0.7,0.11334,64.2,37.2
wuf20-072.mwcnf,0.5,0.05557,100.6,22.3
wuf20-073.mwcnf,0.4,0.02671,165.7,40.6
wuf20-074.mwcnf,0.3,0.00001,187.1,53.9
wuf20-075.mwcnf,1.0,0.27598,34.0,34.0
wuf20-076.mwcnf,0.7,0.00010,51.5,30.8
